concept_code,concept_name,stock_count,avg_rank
885792.TI,赛马概念,1,290.0
884085.TI,电机Ⅲ,1,297.0
884140.TI,其他家居用品,1,310.0
884247.TI,商业地产,1,311.0
884158.TI,多元金融Ⅲ,1,316.0
884289.TI,车身附件及饰件,1,320.0
884117.TI,彩电,1,321.0
885697.TI,深圳国企改革,1,321.0
885947.TI,DRG/DIP,1,329.0
886016.TI,供销社,1,335.0
884162.TI,商业物业经营,1,337.0
884145.TI,医疗设备,1,340.0
885782.TI,水泥概念,1,342.0
884255.TI,互联网电商Ⅲ,1,353.0
884298.TI,成品家居,1,358.0
885926.TI,牙科医疗,1,360.0
884032.TI,民爆用品,1,367.0
884011.TI,其他农产品加工,1,369.0
884149.TI,热力,1,370.0
885907.TI,科创次新股,1,371.0
884058.TI,非金属材料Ⅲ,1,374.0
886000.TI,一体化压铸,1,374.0
884217.TI,工程咨询服务,1,381.0
885866.TI,数字货币,1,383.0
885975.TI,电子身份证,1,383.0
884045.TI,氨纶,1,396.0
884245.TI,其他医疗服务,1,400.0
885909.TI,辅助生殖,1,400.0
